wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,area,occup,occup_cat
3.1,11,2,0,0,1,0,2,1,west,other,other
3.24,12,22,2,0,1,1,3,1,west,services,servocc
3.0,11,2,0,0,0,0,2,0,west,trade,other
6.0,8,44,28,0,0,1,0,1,west,other,clerocc
5.3,12,7,2,0,0,1,1,0,west,other,other
8.75,16,9,8,0,0,1,0,1,west,profserv,profocc
11.25,18,15,7,0,0,0,0,1,west,trade,profocc
5.0,12,5,3,0,1,0,0,1,west,other,profocc
3.6,12,26,4,0,1,0,2,1,west,trade,profocc
18.18,17,22,21,0,0,1,0,1,west,other,profocc
6.25,16,8,2,0,1,0,0,1,west,trade,profocc
8.13,13,3,0,0,1,0,0,1,west,profserv,clerocc
8.77,12,15,0,0,0,1,2,1,west,other,other
5.5,12,18,3,0,0,0,0,1,west,other,other
22.2,12,31,15,0,0,1,1,1,west,other,profocc
17.33,16,14,0,0,0,1,1,1,west,profserv,profocc
7.5,12,10,0,0,1,1,0,1,west,other,clerocc
10.63,13,16,10,0,1,0,0,1,west,profserv,profocc
3.6,12,13,0,0,1,1,3,1,west,other,other
4.5,12,36,6,0,1,1,0,1,west,profserv,servocc
6.88,12,11,4,0,1,0,0,1,west,profserv,profocc
8.48,12,29,13,0,0,1,3,1,west,other,other
6.33,16,9,9,0,1,0,0,1,west,other,profocc
0.53,12,3,1,0,1,0,0,1,west,services,servocc
6.0,11,37,8,1,1,0,0,1,west,services,other
9.56,16,3,3,1,0,1,1,1,west,ndurman,profocc
7.78,16,11,10,0,0,1,1,1,west,trcommpu,other
12.5,16,31,0,0,0,1,0,1,west,other,profocc
12.5,15,30,0,0,0,1,2,1,west,other,profocc
3.25,8,9,1,0,1,1,2,1,west,other,other
13.0,14,23,5,0,0,1,2,1,west,profserv,profocc
4.5,14,2,5,0,1,0,2,1,west,trade,other
9.68,13,16,16,0,1,0,0,1,west,other,profocc
5.0,12,7,3,0,1,0,0,1,west,other,clerocc
4.68,12,3,0,0,1,0,0,1,west,services,clerocc
4.27,16,22,4,1,1,1,1,1,west,trade,profocc
6.15,12,15,6,1,1,1,1,1,west,services,servocc
3.51,4,39,15,0,0,1,5,1,west,trade,other
3.0,14,3,3,0,1,1,0,1,west,profserv,clerocc
6.25,12,11,0,0,1,0,0,1,west,profserv,clerocc
7.81,12,3,0,0,1,1,0,1,west,services,servocc
10.0,12,20,5,1,1,1,4,1,west,profserv,clerocc
4.5,14,16,0,0,1,1,1,1,west,profserv,clerocc
4.0,11,45,12,0,1,1,0,1,west,profserv,servocc
6.38,13,11,4,0,1,0,0,1,west,other,other
13.7,15,20,13,0,0,1,2,1,west,profserv,profocc
1.67,10,1,0,0,0,0,1,1,west,services,other
2.93,12,36,2,0,1,1,1,1,west,trade,profocc
3.65,14,9,2,0,0,0,0,1,west,trade,profocc
2.9,12,15,1,0,1,1,2,1,west,services,servocc
1.63,12,18,0,0,1,0,2,0,northeast,services,servocc
8.6,16,3,2,0,1,0,0,1,northeast,profserv,profocc
5.0,12,15,5,0,0,1,1,1,northeast,trade,clerocc
6.0,12,7,7,0,0,1,0,1,northeast,other,other
2.5,12,2,0,0,0,0,2,0,northeast,other,other
3.25,15,3,0,0,0,0,1,0,northeast,trade,servocc
3.4,16,1,1,0,1,0,1,0,northeast,trade,servocc
10.0,8,13,0,1,0,0,0,1,northeast,trade,other
21.63,18,8,8,0,1,0,0,1,northeast,profserv,profocc
4.38,16,7,0,0,0,0,0,1,northeast,trade,servocc
11.71,13,40,20,0,1,0,0,1,northeast,ndurman,profocc
12.39,14,42,5,0,0,0,0,1,northeast,profserv,profocc
6.25,10,36,8,0,0,0,0,1,northeast,trade,servocc
3.71,10,13,0,1,1,0,4,1,northeast,profserv,clerocc
7.78,14,9,3,0,0,0,0,1,northeast,profserv,profocc
19.98,14,26,23,0,0,1,2,1,northeast,other,profocc
6.25,16,7,4,1,1,1,3,1,northeast,profserv,profocc
10.0,12,25,3,0,0,1,3,1,northeast,profserv,profocc
5.71,16,10,5,0,0,1,1,1,northeast,profserv,profocc
2.0,12,3,2,0,1,0,4,1,northeast,services,other
5.71,16,3,0,0,1,0,0,1,northeast,trade,clerocc
13.08,17,17,2,1,0,1,3,1,northeast,profserv,profocc
4.91,12,17,8,0,0,1,2,1,northeast,other,other
2.91,12,20,34,0,1,1,2,1,northeast,services,clerocc
3.75,12,7,0,0,1,1,0,1,northeast,construc,clerocc
11.9,13,24,19,0,0,1,2,1,northeast,profserv,profocc
4.0,12,28,0,0,1,1,1,1,northeast,profserv,clerocc
3.1,12,2,1,0,1,0,1,1,northeast,trade,clerocc
8.45,12,19,13,0,0,1,4,1,northeast,other,other
7.14,18,13,0,0,0,1,2,1,northeast,profserv,profocc
4.5,9,22,5,0,0,1,4,1,northeast,other,other
4.65,16,3,1,0,0,0,0,1,northeast,ndurman,other
2.9,10,4,0,0,1,0,1,1,northeast,profserv,servocc
6.67,12,7,5,0,0,0,0,1,northeast,other,profocc
3.5,12,6,2,1,1,0,1,1,northeast,profserv,servocc
3.26,12,13,3,0,1,1,1,1,northeast,trade,profocc
3.25,12,14,0,0,1,1,1,1,northeast,profserv,clerocc
8.0,12,14,4,0,1,0,1,1,northeast,profserv,profocc
9.85,8,40,24,1,0,1,2,1,northeast,other,other
7.5,12,11,7,0,0,1,1,1,northeast,other,other
