,date,fiscal_period,permno,gics_6d,ret_ex_3d,date_diff,doy_diff
64,2021-01-25,2020-12-31,10026,302020,0.085725605,0,-2
65,2021-04-26,2021-03-31,10026,302020,-0.040382583,0,-2
66,2021-07-26,2021-06-30,10026,302020,0.005234548,0,-2
67,2021-11-15,2021-09-30,10026,302020,-0.015812967,7,9
123,2021-01-20,2020-12-31,10032,452030,-0.072585955,0,-2
124,2021-04-21,2021-03-31,10032,452030,-0.0071585327,0,-2
125,2021-07-21,2021-06-30,10032,452030,-0.015060444,0,-2
126,2021-10-27,2021-09-30,10032,452030,-0.08669481,0,-2
229,2021-01-26,2020-12-31,10107,451030,0.07322034,-1,-3
230,2021-04-27,2021-03-31,10107,451030,-0.023516476,-1,-3
231,2021-07-27,2021-06-30,10107,451030,-0.0014790081,6,4
232,2021-10-26,2021-09-30,10107,451030,0.03562772,0,-2
310,2021-01-28,2020-12-31,10138,402030,0.008698821,1,-1
311,2021-04-29,2021-03-31,10138,402030,0.0029379663,2,0
312,2021-07-29,2021-06-30,10138,402030,0.004207803,1,-1
313,2021-10-28,2021-09-30,10138,402030,0.038989767,0,-2
382,2021-01-29,2020-12-31,10145,201050,-0.014616425,0,-2
383,2021-04-23,2021-03-31,10145,201050,-0.043989167,-7,-9
384,2021-07-23,2021-06-30,10145,201050,-0.025965657,0,-2
385,2021-10-22,2021-09-30,10145,201050,-0.033187192,-7,-9
454,2021-03-01,2020-12-31,10158,201030,-0.009951261,-1,-2
455,2021-05-04,2021-03-31,10158,201030,-0.02896811,1,-1
456,2021-08-02,2021-06-30,10158,201030,-0.07514106,0,-2
457,2021-11-01,2021-09-30,10158,201030,0.1127718,0,-2
521,2021-02-24,2020-12-31,10200,352030,0.028555438,6,4
522,2021-05-04,2021-03-31,10200,352030,-0.020703007,-1,-3
523,2021-07-27,2021-06-30,10200,352030,0.13320696,-2,-4
524,2021-10-28,2021-09-30,10200,352030,0.027704395,-7,-9
570,2021-02-22,2020-12-31,10220,201010,-0.034044545,0,-2
571,2021-05-03,2021-03-31,10220,201010,-0.0038442637,0,-2
572,2021-08-02,2021-06-30,10220,201010,-0.045972183,0,-2
573,2021-11-01,2021-09-30,10220,201010,-0.07277661,0,-2
659,2021-03-11,2020-12-31,10239,403010,-0.05614391,16,14
715,2021-01-21,2020-12-31,10252,401010,-0.0008083924,7,5
716,2021-04-22,2021-03-31,10252,401010,0.010383311,0,-2
717,2021-07-22,2021-06-30,10252,401010,-0.022079276,0,-2
718,2021-10-21,2021-09-30,10252,401010,0.01524176,0,-2
733,2021-05-05,2021-03-31,10257,202020,-0.035836138,0,-2
734,2021-08-04,2021-06-30,10257,202020,-0.004334865,0,-2
735,2021-12-06,2021-09-30,10257,202020,0.06659039,0,-2
759,2021-03-29,2020-12-31,10258,352010,-0.21532083,4,-2
760,2021-08-05,2021-06-30,10258,352010,0.05296023,0,-2
761,2021-11-11,2021-09-30,10258,352010,-0.08141297,7,0
861,2021-02-17,2020-12-31,10294,255040,-0.03338909,1,-1
862,2021-04-27,2021-03-31,10294,255040,0.041052155,-1,-24
863,2021-07-27,2021-06-30,10294,255040,-0.052673724,-13,-15
864,2021-10-28,2021-09-30,10294,255040,-0.13743351,1,-1
1055,2021-01-29,2020-12-31,10308,401010,-0.009904775,0,-2
1056,2021-04-30,2021-03-31,10308,401010,0.010904284,0,-2
1057,2021-07-23,2021-06-30,10308,401010,-6.576417e-05,0,-2
1058,2021-10-22,2021-09-30,10308,401010,0.00027405634,0,-2
1115,2021-02-19,2020-12-31,10318,151010,0.054608587,0,-2
1116,2021-04-30,2021-03-31,10318,151010,0.04337542,0,-2
1117,2021-07-30,2021-06-30,10318,151010,0.0095575955,0,-2
1118,2021-10-29,2021-09-30,10318,151010,-0.017430685,2,0
1149,2021-03-11,2020-12-31,10333,352010,0.039100632,2,0
1150,2021-08-05,2021-06-30,10333,352010,-0.045249976,0,-2
1151,2021-11-04,2021-09-30,10333,352010,-0.0020536887,0,-2
1300,2021-03-01,2020-12-31,10382,201060,0.02489186,0,-4
1301,2021-05-05,2021-03-31,10382,201060,-0.13659073,0,-2
1302,2021-08-04,2021-06-30,10382,201060,-0.008091008,0,-2
1303,2021-11-03,2021-09-30,10382,201060,0.11501864,0,-2
1408,2021-02-04,2020-12-31,10397,203040,-0.012349794,1,-1
1409,2021-04-28,2021-03-31,10397,203040,0.037786275,1,-1
1410,2021-07-29,2021-06-30,10397,203040,0.02659888,1,-1
1411,2021-10-28,2021-09-30,10397,203040,-0.02385539,1,-1
1474,2021-02-04,2020-12-31,10421,203020,-0.0034689049,7,5
1475,2021-04-29,2021-03-31,10421,203020,-0.037377637,-7,-9
1476,2021-07-29,2021-06-30,10421,203020,-0.00128781,0,-2
1477,2021-10-28,2021-09-30,10421,203020,-0.06044861,0,-2
1529,2021-03-01,2020-12-31,10443,601020,0.00057867414,-2,-4
1530,2021-05-03,2021-03-31,10443,601020,0.09571652,-2,-4
1531,2021-08-02,2021-06-30,10443,601020,-0.021684939,-2,-4
1532,2021-11-03,2021-09-30,10443,601020,0.07480974,0,-2
1607,2021-01-26,2020-12-31,10516,302020,-0.04532639,-2,-3
1608,2021-04-27,2021-03-31,10516,302020,0.055734627,-2,-3
1609,2021-07-27,2021-06-30,10516,302020,0.0061584236,-2,-3
1610,2021-10-26,2021-09-30,10516,302020,-0.0153791625,-2,-4
1667,2021-02-25,2020-12-31,10517,402020,0.07139938,7,5
1668,2021-04-29,2021-03-31,10517,402020,0.09082431,-7,-9
1669,2021-07-29,2021-06-30,10517,402020,-0.04758721,0,-1
1670,2021-11-03,2021-09-30,10517,402020,0.08348782,6,4
1726,2021-02-05,2020-12-31,10530,351010,0.15240157,0,-2
1727,2021-05-07,2021-03-31,10530,351010,0.019593086,0,-2
1728,2021-08-06,2021-06-30,10530,351010,-0.04350911,0,-2
1729,2021-11-12,2021-09-30,10530,351010,0.074098244,0,-2
1766,2021-01-28,2020-12-31,10547,452010,-0.068868265,7,5
1767,2021-04-22,2021-03-31,10547,452010,0.2270967,0,-2
1768,2021-07-22,2021-06-30,10547,452010,0.18143149,0,-2
1769,2021-11-04,2021-09-30,10547,452010,0.010713958,1,-1
1844,2021-02-10,2020-12-31,10606,201060,-0.037554696,0,0
1845,2021-05-04,2021-03-31,10606,201060,0.021437125,-1,-3
1846,2021-08-04,2021-06-30,10606,201060,0.051675085,2,0
1847,2021-11-03,2021-09-30,10606,201060,0.03506212,0,-2
1905,2021-01-19,2020-12-31,10629,401010,-0.0268455,0,-2
1906,2021-04-19,2021-03-31,10629,401010,-0.00673269,-3,-5
1907,2021-07-19,2021-06-30,10629,401010,0.0077196998,4,2
1908,2021-10-18,2021-09-30,10629,401010,0.014961561,-1,-2
2072,2021-01-26,2020-12-31,10693,351020,-0.042429183,-9,-11
2073,2021-04-27,2021-03-31,10693,351020,-0.037861142,-1,-2
2074,2021-07-27,2021-06-30,10693,351020,0.014057806,0,-1
2075,2021-10-27,2021-09-30,10693,351020,-0.06235247,-1,-2
2132,2021-02-09,2020-12-31,10696,451020,-0.037111294,5,5
2133,2021-04-27,2021-03-31,10696,451020,-0.023259062,-9,-11
2134,2021-07-27,2021-06-30,10696,451020,0.020918395,-8,-10
2135,2021-10-27,2021-09-30,10696,451020,-0.11483101,1,-1
2189,2021-01-26,2020-12-31,10777,401010,-0.07331169,0,-3
2190,2021-04-28,2021-03-31,10777,401010,-0.046708938,1,-1
2191,2021-08-03,2021-06-30,10777,401010,0.042254116,7,5
2192,2021-10-27,2021-09-30,10777,401010,-0.003779999,8,-1
2242,2021-01-14,2020-12-31,10781,401010,0.0004988921,7,5
2243,2021-04-15,2021-03-31,10781,401010,0.052926354,0,0
2244,2021-07-08,2021-06-30,10781,401010,-0.0036472504,0,-2
2245,2021-10-14,2021-09-30,10781,401010,-0.0041140765,7,5
2298,2021-01-19,2020-12-31,10812,203040,0.028274374,-2,-5
2299,2021-04-21,2021-03-31,10812,203040,-0.025784135,1,-1
2300,2021-07-19,2021-06-30,10812,203040,-0.020004593,4,2
2301,2021-10-15,2021-09-30,10812,203040,0.0076911566,1,-14
2386,2021-03-01,2020-12-31,10860,351010,0.02275949,12,10
2387,2021-05-05,2021-03-31,10860,351010,0.115776315,0,-2
2388,2021-08-03,2021-06-30,10860,351010,0.02545463,-1,-3
2389,2021-11-03,2021-09-30,10860,351010,-0.08939727,0,-2
2442,2021-01-28,2020-12-31,10874,252020,-0.02741572,0,-2
2443,2021-04-29,2021-03-31,10874,252020,0.020036211,0,-2
2444,2021-07-29,2021-06-30,10874,252020,0.054041766,0,-2
2445,2021-10-28,2021-09-30,10874,252020,0.017320978,0,-2
2515,2021-02-22,2020-12-31,10890,451020,-0.0921423,-1,-3
2516,2021-05-06,2021-03-31,10890,451020,-0.011144867,9,7
2517,2021-08-02,2021-06-30,10890,451020,0.030901864,-1,-3
2518,2021-11-02,2021-09-30,10890,451020,-0.20447624,8,5
2573,2021-01-25,2020-12-31,10892,401020,-0.02399101,6,4
2574,2021-04-22,2021-03-31,10892,401020,0.013797489,-5,-6
2575,2021-07-22,2021-06-30,10892,401020,-0.019626461,0,-2
2576,2021-10-21,2021-09-30,10892,401020,0.010830174,0,-2
2632,2021-02-15,2020-12-31,10901,403010,,4,4
2633,2021-05-05,2021-03-31,10901,403010,0.012447294,0,-1
2634,2021-08-04,2021-06-30,10901,403010,0.090450354,0,-1
2635,2021-11-04,2021-09-30,10901,403010,0.11517166,0,-1
2691,2021-02-10,2020-12-31,10909,351030,-0.034107342,6,6
2692,2021-05-05,2021-03-31,10909,351030,-0.01482936,8,6
2693,2021-07-30,2021-06-30,10909,351030,0.018105296,2,0
2694,2021-10-29,2021-09-30,10909,351030,0.08718232,2,0
2790,2021-01-21,2020-12-31,10932,401010,-0.0052976026,0,-2
2791,2021-04-20,2021-03-31,10932,401010,-0.09017375,-2,-2
2792,2021-07-22,2021-06-30,10932,401010,-0.000389661,0,-2
2793,2021-10-21,2021-09-30,10932,401010,-0.0041340385,0,-2
2850,2021-02-02,2020-12-31,10933,403010,0.05199579,0,-2
2851,2021-04-28,2021-03-31,10933,403010,-0.024436807,1,-1
2852,2021-08-03,2021-06-30,10933,403010,0.003184926,7,5
2853,2021-11-02,2021-09-30,10933,403010,-0.008333822,7,5
2894,2021-05-06,2021-03-31,10952,601010,-0.04810203,-4,-9
2895,2021-07-29,2021-06-30,10952,601010,0.04417558,-11,-13
2896,2021-11-04,2021-09-30,10952,601010,-0.054439228,7,5
2964,2021-01-29,2020-12-31,11006,401010,0.028079879,1,-1
2965,2021-04-29,2021-03-31,11006,401010,0.001579756,0,-2
2966,2021-07-29,2021-06-30,11006,401010,-0.0072488557,0,-2
2967,2021-10-28,2021-09-30,11006,401010,0.006405538,0,-2
2998,2021-01-29,2020-12-31,11018,401010,0.049984984,3,1
2999,2021-04-26,2021-03-31,11018,401010,0.024094114,-3,-5
3000,2021-07-23,2021-06-30,11018,401010,-0.008033736,-4,-6
3001,2021-10-25,2021-09-30,11018,401010,0.055731192,-4,-6
3148,2021-03-11,2020-12-31,11144,151010,0.027848184,3,1
3149,2021-08-09,2021-06-30,11144,151010,0.024720857,4,2
3150,2021-11-08,2021-09-30,11144,151010,0.06796814,-1,-2
3204,2021-01-25,2020-12-31,11208,401010,-0.09795901,-3,-4
3205,2021-04-21,2021-03-31,11208,401010,0.007066741,-8,-9
3206,2021-07-21,2021-06-30,11208,401010,0.04610349,-1,-4
3207,2021-10-20,2021-09-30,11208,401010,0.011193137,-2,-4
3305,2021-01-27,2020-12-31,11285,401010,-0.022421975,7,5
3306,2021-04-27,2021-03-31,11285,401010,-0.02388463,0,-2
3307,2021-07-29,2021-06-30,11285,401010,0.022124145,7,-1
3308,2021-10-26,2021-09-30,11285,401010,0.01566566,0,-4
3310,2021-08-12,2021-06-30,11292,352010,-0.03091383,1,-1
3311,2021-11-15,2021-09-30,11292,352010,-0.008280831,4,2
3366,2021-01-26,2020-12-31,11293,401010,-0.08202748,-1,-1
3367,2021-04-27,2021-03-31,11293,401010,-0.039882354,0,-1
3368,2021-07-27,2021-06-30,11293,401010,0.0015912926,5,4
3369,2021-10-26,2021-09-30,11293,401010,-0.043623243,5,4
3425,2021-02-10,2020-12-31,11308,302010,0.0061438093,13,11
3426,2021-04-19,2021-03-31,11308,302010,0.018249653,-1,-3
3427,2021-07-21,2021-06-30,11308,302010,-0.0058433823,0,-1
3428,2021-10-27,2021-09-30,11308,302010,0.0335864,6,4
3484,2021-01-19,2020-12-31,11348,401010,-0.0028585207,0,-2
3485,2021-04-13,2021-03-31,11348,401010,0.0060852105,0,-2
3486,2021-07-13,2021-06-30,11348,401010,0.012744413,0,-2
3487,2021-10-19,2021-09-30,11348,401010,-0.006404226,7,5
3495,2021-06-25,2021-03-31,11368,203010,-0.020200249,0,-5
3496,2021-11-15,2021-09-30,11368,203010,-0.04840119,4,2
3552,2021-01-28,2020-12-31,11369,401010,-0.04104343,1,-2
3553,2021-04-29,2021-03-31,11369,401010,-0.0045362576,0,-2
3554,2021-07-23,2021-06-30,11369,401010,-0.0016268772,0,-2
3555,2021-10-26,2021-09-30,11369,401010,-0.022768147,4,2
3587,2021-02-25,2020-12-31,11370,451030,-0.19375595,7,5
3588,2021-05-06,2021-03-31,11370,451030,-0.060244273,0,-2
3589,2021-08-05,2021-06-30,11370,451030,0.024099367,0,-2
3590,2021-11-08,2021-09-30,11370,451030,0.023009533,4,2
3691,2021-01-27,2020-12-31,11397,401010,-0.025758462,2,0
3692,2021-04-21,2021-03-31,11397,401010,0.019252999,-5,-7
3693,2021-07-21,2021-06-30,11397,401010,-0.08740049,2,0
3694,2021-10-25,2021-09-30,11397,401010,0.01416743,7,5
3748,2021-02-22,2020-12-31,11403,451030,-0.003368,5,10
3749,2021-04-26,2021-03-31,11403,451030,-0.06404866,7,5
3750,2021-07-26,2021-06-30,11403,451030,0.007719059,7,5
3751,2021-10-25,2021-09-30,11403,451030,0.04512365,7,5
3807,2021-02-18,2020-12-31,11404,551030,-0.028784016,0,-2
3808,2021-05-06,2021-03-31,11404,551030,-0.012304596,0,-2
3809,2021-08-05,2021-06-30,11404,551030,0.008170971,0,-2
3810,2021-11-04,2021-09-30,11404,551030,0.026277041,0,-2
3884,2021-01-28,2020-12-31,11442,401010,-0.057313863,0,-1
3885,2021-04-28,2021-03-31,11442,401010,-0.02337764,0,-1
3886,2021-07-22,2021-06-30,11442,401010,-0.004213434,0,-2
3887,2021-10-21,2021-09-30,11442,401010,0.0411578,0,-2
3959,2021-04-27,2020-12-31,11481,451030,-0.00198886,57,55
3960,2021-08-09,2021-06-30,11481,451030,0.0043049324,4,1
3961,2021-11-09,2021-09-30,11481,451030,-0.068991035,1,-1
4003,2021-03-03,2020-12-31,11499,202010,0.024556639,0,-2
4004,2021-05-06,2021-03-31,11499,202010,-0.035381805,1,-1
4005,2021-08-03,2021-06-30,11499,202010,-0.01999888,-1,-3
4006,2021-11-08,2021-09-30,11499,202010,-0.0554566,5,3
4092,2021-01-28,2020-12-31,11533,451030,-0.06676218,0,-2
4093,2021-05-05,2021-03-31,11533,451030,-0.017105298,7,5
4094,2021-08-03,2021-06-30,11533,451030,-0.052887026,5,4
4095,2021-11-10,2021-09-30,11533,451030,-0.027695412,1,-1
4151,2021-01-27,2020-12-31,11547,351010,-0.011113521,0,-2
4152,2021-04-28,2021-03-31,11547,351010,0.050738946,0,-2
4153,2021-07-28,2021-06-30,11547,351010,0.021057162,0,-2
4154,2021-10-27,2021-09-30,11547,351010,0.018538147,0,-2
4229,2021-01-27,2020-12-31,11565,401010,-0.029647497,0,-2
4230,2021-04-28,2021-03-31,11565,401010,-0.024499627,0,-2
4231,2021-07-27,2021-06-30,11565,401010,0.036235582,-1,-3
4232,2021-10-27,2021-09-30,11565,401010,-0.0026370054,0,-2
4289,2021-03-01,2020-12-31,11587,351010,-0.026183672,4,3
4290,2021-05-10,2021-03-31,11587,351010,0.015957698,4,2
4291,2021-08-10,2021-06-30,11587,351010,-0.018893937,5,3
4292,2021-11-09,2021-09-30,11587,351010,0.034215033,0,-1
4374,2021-03-01,2020-12-31,11600,351010,0.12094579,0,-2
4375,2021-05-06,2021-03-31,11600,351010,-0.032930445,-1,-3
4376,2021-08-05,2021-06-30,11600,351010,-0.083793305,0,-2
4377,2021-11-04,2021-09-30,11600,351010,-0.0649718,0,-2
4433,2021-01-20,2020-12-31,11618,201070,-0.066352904,0,3
4434,2021-04-13,2021-03-31,11618,201070,0.0004185478,0,-2
4435,2021-07-13,2021-06-30,11618,201070,-0.0067914147,0,-2
4436,2021-10-12,2021-09-30,11618,201070,0.023315584,0,-2
4486,2021-01-27,2020-12-31,11628,401010,0.025010321,0,-2
4487,2021-04-28,2021-03-31,11628,401010,-0.009700017,7,5
4488,2021-07-28,2021-06-30,11628,401010,0.018314816,0,-2
4489,2021-10-27,2021-09-30,11628,401010,0.036916368,0,-2
4508,2021-03-01,2020-12-31,11636,352010,-0.040214512,0,-2
4509,2021-05-10,2021-03-31,11636,352010,0.12055965,4,2
4510,2021-08-09,2021-06-30,11636,352010,-0.0012943633,4,3
4511,2021-11-03,2021-09-30,11636,352010,-0.013486513,-1,-7
4643,2021-08-03,2021-06-30,11644,101020,-0.042384773,-1,-3
4644,2021-11-02,2021-09-30,11644,101020,-0.06684748,-1,-3
4701,2021-02-22,2020-12-31,11664,402020,-0.055714298,5,3
4702,2021-05-05,2021-03-31,11664,402020,-0.009331069,-5,-7
4703,2021-08-03,2021-06-30,11664,402020,-0.0072033037,0,-2
4704,2021-11-04,2021-09-30,11664,402020,0.012081958,1,-1
4760,2021-02-19,2020-12-31,11674,551030,0.015045911,15,14
4761,2021-04-27,2021-03-31,11674,551030,-0.01068586,-1,-2
4762,2021-07-27,2021-06-30,11674,551030,0.009903756,-1,-2
4763,2021-10-27,2021-09-30,11674,551030,-0.00803921,1,-1
4819,2021-02-25,2020-12-31,11691,203030,-0.049519148,1,-1
4820,2021-04-29,2021-03-31,11691,203030,-0.029085036,-6,-7
4821,2021-07-29,2021-06-30,11691,203030,0.023446081,0,-9
4822,2021-11-04,2021-09-30,11691,203030,0.04334371,3,1
4869,2021-05-05,2021-03-31,11701,301010,0.04461,-1,-3
